"Organisation","Full Name","Post Title","Office Tel"
"Architectural Services Department","Mrs. LAM YU Ka Wai, Sylvia, JP","Dir of Architectural Services","2867 3601"
"Architectural Services Department","Ms. HO Wing Yin, Winnie, JP","Dep Dir of Architectural Services","2867 3603"
""
"Organisation","Service Name","Office Tel"
"Architectural Services Department","General Enquiries","2867 3628"
""
"Organisation","Department","Full Name","Post Title","Office Tel"
"Architectural Services Department","Architectural Services Department","","",""
"Architectural Services Department","Architectural Services Department,Headquarters","Mrs. LAM YU Ka Wai, Sylvia, JP","Dir of Architectural Services","2867 3601"
"Architectural Services Department","Architectural Services Department,Headquarters","Ms. HO Wing Yin, Winnie, JP","Dep Dir of Architectural Services","2867 3603"
"Architectural Services Department","Architectural Services Department,Headquarters","Ms. YEUNG Lai Fong, Alice","Asst Dir (Architectural)","2867 3941"
"Architectural Services Department","Architectural Services Department,Headquarters","Mr. MAK Ka Chun, JP","Asst Dir (Building Services)","2867 3607"
"Architectural Services Department","Architectural Services Department,Headquarters","Ms. LI Wing Yi, Sheron, JP","Asst Dir (Quantity Surveying)","2867 3605"
"Architectural Services Department","Architectural Services Department,Headquarters","Mr. TSE Kam Leung","Asst Dir (Structural Engineering)","2867 3609"
"Architectural Services Department","Architectural Services Department,Headquarters","Mr. HUI Chiu Kin","Asst Dir (Property Services)","2773 2233"
"Architectural Services Department","Architectural Services Department,Headquarters","Mr. WONG Tak Choi, Frank, JP","Project Dir 1","2867 3617"
"Architectural Services Department","Architectural Services Department,Headquarters","Mr. CHAK Wing Pong, David","Project Dir 2","2867 3613"
"Architectural Services Department","Architectural Services Department,Headquarters","Mr. TSE Cheong Wo, Edward","Project Dir 3","2867 3877"
"Architectural Services Department","Headquarters,Administration Division","Ms. KWAN Wing Kau, Doreen","DS","2867 3643"
"Architectural Services Department","Headquarters,Administration Division","Mr. LAM Man Ming, Patrick","Dep DS(1)","2867 3634"
"Architectural Services Department","Headquarters,Administration Division","Mr. CHOW Yik Lam, Martin","Dep DS(2)","2867 3620"
"Architectural Services Department","Headquarters,Administration Division","Miss LAI Pui Fong, Fonna","SEO(SD)","2867 3620"
"Architectural Services Department","Headquarters,Administration Division","Mr. CHOW Yik Lam, Martin","Asst Secy/Adm","2867 3649"
"Architectural Services Department","Headquarters,Administration Division","Ms. VU Man Wai, Jenny","Asst Secy/Est&amp;Appt(1)","2867 3632"
"Architectural Services Department","Headquarters,Administration Division","Ms. LEE Yin Ting, Janet","Asst Secy/Est&amp;Appt(2)","2867 3660"
"Architectural Services Department","Headquarters,Administration Division","Ms. TSE So Kwan, Katy","Asst Secy/Per(1)","2867 3633"
"Architectural Services Department","Headquarters,Administration Division","Ms. LEUNG Pui Sze, Michelle","Asst Secy/Per(2) (On Leave)","2867 4305"
"Architectural Services Department","Headquarters,Administration Division","Ms. TSE So Kwan, Katy","Asst Secy/Per(2)","2867 3633"
"Architectural Services Department","Headquarters,Administration Division","Mr. PUN Man Kwong, Francis","Asst Secy/Per(SD)","2867 4305"
"Architectural Services Department","Administration Division,Confidential Registry","","",""
"Architectural Services Department","Administration Division,General Registry","Mr. CHOY Yuen Man","SCO(Gen)","2867 5001"
"Architectural Services Department","Administration Division,General Registry","Mr. WONG Wai Kan","CO(Gen)","2867 4307"
"Architectural Services Department","Administration Division,Personnel Registry","Miss LO Yuk Ming, Queeny","SCO(Per)","2867 3635"
"Architectural Services Department","Administration Division,Personnel Registry","Miss FONG Muk Chun","CO(Per)1","2867 3639"
"Architectural Services Department","Administration Division,Personnel Registry","Ms. CHOI Kam Lai, Pearl","CO(Per)2","2867 4928"
"Architectural Services Department","Administration Division,Personnel Registry","Miss CHUNG Wai Man, Dorothy","CO(Est)","2867 3641"
"Architectural Services Department","Administration Division,Personnel Registry","Miss LO Yuen Mei, Eleanor","CO(Appt)SD","2867 3338"
"Architectural Services Department","Administration Division,PhotoPrinting Unit","","",""
"Architectural Services Department","Administration Division,Receipt & Despatch","","",""
"Architectural Services Department","Administration Division,Typing Pool","","",""
