"機構","姓名","職位","辦公室電話"
"食物環境衞生署","劉利群 女士, 太平紳士","食物環境衞生署署長","2867 5333"
"食物環境衞生署","黃福來 先生","食物環境衞生署副署長(行政及發展)","2867 5687"
"食物環境衞生署","懸空 ","食物環境衞生署副署長(環境衞生)","2867 5347"
"食物環境衞生署","何玉賢 醫生, 太平紳士","食物安全專員","2867 5500"
"食物環境衞生署","賴黃淑嫻 女士, 太平紳士","私營骨灰安置所事務專員","2350 7388"
""
"機構","服務名稱","辦公室電話"
"食物環境衞生署","查詢及投訴熱線(食物環境衞生署)","2868 0000"
""
"機構","部門","姓名","職位","辦公室電話"
"食物環境衞生署","食物環境衞生署","劉利群 女士, 太平紳士","食物環境衞生署署長","2867 5333"
"食物環境衞生署","食物環境衞生署,行政及發展部","黃福來 先生","食物環境衞生署副署長(行政及發展)","2867 5687"
"食物環境衞生署","行政及發展部,行政科","歐佩慧 女士","助理署長(行政)","2867 5083"
"食物環境衞生署","行政及發展部,行政科","蔡紹榮 先生","首席行政主任(員工管理及紀律)","2867 5016"
"食物環境衞生署","行政科,聘用組","蕭秀嫻 女士","總行政主任(聘用)","2867 5628"
"食物環境衞生署","行政科,聘用組","陳少虹 女士","高級行政主任(聘用)1","2867 5056"
"食物環境衞生署","行政科,聘用組","陳文斌 先生","高級行政主任(聘用)2","2867 5789"
"食物環境衞生署","行政科,聘用組","何慧玲 女士","高級行政主任(聘用)3","2867 5059"
"食物環境衞生署","行政科,聘用組","楊凱欣 女士","高級行政主任(聘用)4","2867 5335"
"食物環境衞生署","行政科,聘用組","關詠賢 女士","行政主任(聘用)1","2867 5289"
"食物環境衞生署","行政科,聘用組","陳學基 先生","行政主任(聘用2)1","2867 5993"
"食物環境衞生署","行政科,聘用組","懸空 ","行政主任(聘用2)2","2867 5174"
"食物環境衞生署","行政科,聘用組","鄭穎姸 女士","行政主任(聘用)3","2867 5079"
"食物環境衞生署","行政科,聘用組","盧靜儀 女士","行政主任(聘用)4","2867 5991"
"食物環境衞生署","行政科,聘用組","張玉珍 女士","高級文書主任(聘用)","2867 5261"
"食物環境衞生署","行政科,聘用組","羅國娣 女士","文書主任(聘用1)1","2867 5260"
"食物環境衞生署","行政科,聘用組","黃淑雯 女士","文書主任(聘用1)2","2867 5023"
"食物環境衞生署","行政科,聘用組","徐楚艷 女士","文書主任(聘用2)1","2867 5044"
