"Organisation","Full Name","Post Title","Office Tel"
"Fire Services Department","Mr. LI Kin Yat, Daryl, FSDSM","Director of Fire Services","2733 7711,2739 0989"
"Fire Services Department","Mr. LEUNG Wai Hung, Joseph, FSDSM","Dep Director of Fire Services","2733 7722,2723 3244"
""
"Organisation","Service Name","Office Tel"
"Fire Services Department","Enquiry","2723 8787"
""
"Organisation","Department","Full Name","Post Title","Office Tel"
"Fire Services Department","Fire Services Department","Mr. LI Kin Yat, Daryl, FSDSM","Director of Fire Services","2733 7711,2739 0989"
"Fire Services Department","Fire Services Department","Mr. LEUNG Wai Hung, Joseph, FSDSM","Dep Director of Fire Services","2733 7722,2723 3244"
"Fire Services Department","Fire Services Department,Administration Division","Ms. LI Lai Ping, Amy","Assistant Director (Administration)","2733 7777"
"Fire Services Department","Fire Services Department,Administration Division","Ms. CHAN Pui Han, Edna","Ch Executive Offr (Administration)","2733 1511"
"Fire Services Department","Fire Services Department,Administration Division","Ms. WAN Nga Yee, Mabel","Dep Deptal Secy (Appointments)","2733 7883"
"Fire Services Department","Fire Services Department,Administration Division","Ms. WONG Lai Shan, Rebecca","Dep Deptal Secy (Finance &amp; Establishment)","2733 7710"
"Fire Services Department","Fire Services Department,Administration Division","Miss WONG Kam Yin, Ingrid","Dep Deptal Secy (General &amp; Staff Relations)","2733 7757"
"Fire Services Department","Fire Services Department,Administration Division","Ms. CHUNG Wai, Winnie","Dep Deptal Secy (Outsourcing &amp; Complaints)","2733 5891"
"Fire Services Department","Fire Services Department,Administration Division","Ms. KWOK Lam, Lilian","Dep Deptal Secy (Personnel)","2733 7779"
"Fire Services Department","Fire Services Department,Administration Division","Miss TSE Yeuk Nam, Yena","Asst Secy (Accounts)1","2733 7835"
"Fire Services Department","Fire Services Department,Administration Division","Ms. TAM Hiu Fung, Olivia","Asst Secy (Accounts)2","2733 1599"
"Fire Services Department","Fire Services Department,Administration Division","Mr. CHEUNG Yat Kan, Ken","Asst Secy (Appointments)1","2733 7692"
"Fire Services Department","Fire Services Department,Administration Division","Miss LEE Tak Ka, Erica","Asst Secy (Appointments)2","2733 7794"
"Fire Services Department","Fire Services Department,Administration Division","Miss CHENG Wai Tsing, Teresa","Asst Secy (Appointments)3","2733 7588"
"Fire Services Department","Fire Services Department,Administration Division","Ms. TAM Pak Yin, Jassy","Asst Secy (Establishment)","2733 7691"
"Fire Services Department","Fire Services Department,Administration Division","Ms. TSANG Wun Sho, Lisa","Asst Secy (General)","2733 7693"
"Fire Services Department","Fire Services Department,Administration Division","Miss CHEUNG Ka Yui, Joanne","Asst Secy (General &amp; Personnel)","2733 7657"
"Fire Services Department","Fire Services Department,Administration Division","Miss CHAN Lok Yan, Joyce","Asst Secy (Outsourcing &amp; Complaints)","2733 7694"
"Fire Services Department","Fire Services Department,Administration Division","Ms. CHOW Wing Yan, Monica","Asst Secy (Personnel)1","2733 7778"
"Fire Services Department","Fire Services Department,Administration Division","Miss CHAN Ka Man, Carmen","Asst Secy (Personnel)2","2733 7799"
"Fire Services Department","Fire Services Department,Administration Division","Miss CHOW Yee Mau, Tracy","Asst Secy (Staff Relations &amp; Committees)","2733 7846"
"Fire Services Department","Fire Services Department,Administration Division","Mr. LAM Sik Kwan, Addison","Project Liaison Offr (Human Resources Management System)","2733 1574"
"Fire Services Department","Administration Division,Accounts Office","Ms. POON Shuk Yee, Wendy","SCO (Accts)","2733 7702"
"Fire Services Department","Administration Division,Accounts Office","Ms. WONG Wai Ling","CO (Personal Emoluments &amp; Revenue)","2733 7703"
"Fire Services Department","Administration Division,Accounts Office","Miss CHAN Po Chun","CO (Departmental Expenses)","2733 7668"
"Fire Services Department","Administration Division,Accounts Office","Ms. LEE Yee Man","CO (Captial Accounts &amp; Outsourcing)","2733 7690"
"Fire Services Department","Administration Division,Accounts Office","Mr. NG Wai Keung","CO (Payment Vouchers Exam &amp; Financial Information)","2733 7591"
"Fire Services Department","Administration Division,Accounts Office","Ms. WONG Man Lai, Stella","CO (Accrual Accounting)","2733 1569"
"Fire Services Department","Administration Division,Appointments Section","Ms. LAW Yuk Kuen","SCO (Appointments)","2733 7520"
"Fire Services Department","Administration Division,Appointments Section","Ms. MOO Man Ching, Miranda","CO (Appointments)","2733 7673"
"Fire Services Department","Administration Division,Appointments Section","Ms. YIM Fung Ho, Frankie","CO (Career Development)","2733 7680"
"Fire Services Department","Administration Division,Establishment Registry","Ms. LEUNG Wing Chi, Gigi","CO (Est)","2733 7682"
"Fire Services Department","Administration Division,General Section","Mr. TSANG Kam Tong","SCO (Information Management)","2733 7524"
"Fire Services Department","Administration Division,General Section","Ms. KIT Yuk Ping, Kitty","CO (General)","2733 7670"
"Fire Services Department","Administration Division,General Section","Miss SIU Choi Kuen, Chelsea","CO (Allowances, Examinations &amp; Traffic Accidents)","2733 7868"
"Fire Services Department","Administration Division,General Section","Mr. KWOK Yiu Man, Elman","CO (Housing1)","2733 7610"
"Fire Services Department","Administration Division,General Section","Ms. TANG Lai Ming","CO (Housing2)","2733 7843"
"Fire Services Department","Administration Division,General and Staff Relations","","",""
"Fire Services Department","Administration Division,Internal Audit","Mr. MAN Min Kei","CO (Internal Audit)1","2733 7832"
"Fire Services Department","Administration Division,Internal Audit","Mr. CHAN Kam Wah","CO (Internal Audit)2","2733 7833"
"Fire Services Department","Administration Division,Official Languages Section","Ms. YAM Po King","Ch Official Lang Offr","2733 7699"
"Fire Services Department","Administration Division,Official Languages Section","Ms. YEUNG Ching Yee, Natalie","Official Lang Offr I","2733 7867"
"Fire Services Department","Administration Division,Official Languages Section","Ms. CHOI Oi Wah, Bellie","Official Lang Offr II","2733 7838"
"Fire Services Department","Administration Division,Official Languages Section","Mr. YAM Cheuk Kit, Jacky","Official Lang Offr  II","2733 7701"
"Fire Services Department","Administration Division,Official Languages Section","Ms. HUI Pui Ting, Ashley","Official Lang Offr II","2733 7839"
"Fire Services Department","Administration Division,Official Languages Section","Mr. AU Fai Pang, Arthur","Official Lang Offr II","2733 7767"
"Fire Services Department","Administration Division,Personnel Registry","Ms. CHIU Chi Wai, Dorothy","SCO (Personnel)","2733 7562"
"Fire Services Department","Administration Division,Personnel Registry","Ms. LI Sui Ping, Aster","CO (Per &amp; Staff Mgt)","2733 7676"
"Fire Services Department","Administration Division,Personnel Registry","Miss HUI Kit Ling, Carmen","CO (Leave &amp; Computer)","2733 7510"
