"Organisation","Full Name","Post Title","Office Tel"
"Hong Kong Police Force","Mr. LO Wai Chung, Stephen, PDSM, PMSM","Comr of Police","2860 2001"
"Hong Kong Police Force","Ms. CHIU Wai Yin, Winnie (Overseas duty visit & leave), PDSM, PMSM","Dep Comr of Police (Mgt)","2860 2003"
"Hong Kong Police Force","Mr. LAU Yip Shing, PDSM, PMSM","Dep Comr of Police (Ops)","2860 2002"
""
"Organisation","Service Name","Office Tel"
"Hong Kong Police Force","Enquiry - Police Hotline","2527 7177"
""
"Organisation","Department","Full Name","Post Title","Office Tel"
"Hong Kong Police Force","Hong Kong Police Force","Mr. LO Wai Chung, Stephen, PDSM, PMSM","Comr of Police","2860 2001"
"Hong Kong Police Force","Hong Kong Police Force","Ms. CHAN Lai Lai","Psl Asst to Comr of Police","2860 2051"
"Hong Kong Police Force","Hong Kong Police Force","Ms. CHIU Wai Yin, Winnie (Overseas duty visit & leave), PDSM, PMSM","Dep Comr of Police (Mgt)","2860 2003"
"Hong Kong Police Force","Hong Kong Police Force","Ms. SHAM Yan Ka","PS to Dep Comr of Police (Mgt) (Acting)","2860 2054"
"Hong Kong Police Force","Hong Kong Police Force","Mr. LAU Yip Shing, PDSM, PMSM","Dep Comr of Police (Ops)","2860 2002"
"Hong Kong Police Force","Hong Kong Police Force","Ms. AU Kam Chun","PS to Dep Comr of Police (Ops)","2860 2052"
"Hong Kong Police Force","Hong Kong Police Force","Mr. TANG Ping Keung","Dir of Ops","2860 2006"
"Hong Kong Police Force","Hong Kong Police Force","Ms. PANG Siu Mei, Chris","PS to Dir of Ops","2860 2056"
"Hong Kong Police Force","Hong Kong Police Force","Mr. KWOK Yam Shu (On course)","Dir of Mgt Services","2860 2009"
"Hong Kong Police Force","Hong Kong Police Force","Mr. LI Kin Fai, Kenneth, PMSM","Dir of Per &amp; Trg","2860 2008"
"Hong Kong Police Force","Hong Kong Police Force","Ms. NG Lai Chu, Annie","PS to Dir of Per &amp; Trg And Dir of Mgt Services","2860 2058"
"Hong Kong Police Force","Hong Kong Police Force","Mr. LI Chi Hang","Dir of Crime &amp; Security","2860 2013"
"Hong Kong Police Force","Hong Kong Police Force","Ms. TAM Wai Yee, Joyce","Dir of Fin, Adm &amp; Planning","2860 2005"
"Hong Kong Police Force","Hong Kong Police Force","Miss LEUNG Yin Yee, Sylvia","PS to Dir of Crime &amp; Security And  Dir of Fin, Adm &amp; Planning","2860 2055,2860 2063"
"Hong Kong Police Force","Hong Kong Police Force","Mr. CHU Man Lung, Ernest","SO to Comr of Police","2860 2152"
"Hong Kong Police Force","Hong Kong Police Force","Ms. LING Mei Yi","PS to SO to Comr of Police","2860 2153"
"Hong Kong Police Force","Hong Kong Police Force","Mr. SHAM Chun Yin","PA to Comr of Police","2860 2150"
"Hong Kong Police Force","Hong Kong Police Force,A Department","","",""
"Hong Kong Police Force","A Department,Operations Wing","Mr. CHENG Yiu Mo","Asst Comr of Police (Ops)","2860 2011"
"Hong Kong Police Force","A Department,Operations Wing","Ms. MOK Yee Mai, Candy","PS to ACP OPS","2860 2061"
"Hong Kong Police Force","Operations Wing,Operations Bureau","Mr. LEUNG Shun","SSP (Ops Bureau)","2860 2218"
"Hong Kong Police Force","Operations Wing,Operations Bureau","Ms. LOO Man Ying, Queenie","SEO (Ops Bureau) (Ops Wing)","3660 7387"
"Hong Kong Police Force","Operations Wing,Operations Bureau","Ms. WONG Hiu Ching","EO (Ops Bureau) (Ops Wing)","2860 2181"
"Hong Kong Police Force","Operations Wing,Operations Bureau","Ms. CHAN Mei Kuen","OC Gen Regy (Ops Bureau)(Ops Wing)","3660 4347"
"Hong Kong Police Force","Operations Bureau,Operations Division","Mr. TSANG Fan Hon, Allister","SP (Ops Division) (Ops Bureau) (Acting)","2860 2223"
"Hong Kong Police Force","Operations Bureau,Operations Division","Mr. NG Ka Hong","CIP (Ops Division)1 (Ops Bureau)","2860 2120"
"Hong Kong Police Force","Operations Bureau,Operations Division","Ms. JANI Srimurjani","CIP (Ops Division)2 (Ops Bureau)","2860 2129"
"Hong Kong Police Force","Operations Bureau,Operations Division","Mr. MA Kam Woon","CIP (Ops Division)3 (Ops Bureau)","3660 4683"
"Hong Kong Police Force","Operations Bureau,Operations Division","Mr. LAI Chun Hung","SIP (Ops Division)1 (Ops Bureau)","2860 3943"
"Hong Kong Police Force","Operations Bureau,Operations Division","Miss WONG Ming Ching, Chris","SIP (Ops Division)2 (Ops Bureau)","2860 2200"
"Hong Kong Police Force","Operations Bureau,Operations Division","Mr. LAM Hiu Fai","SIP (Ops Division)3 (Ops Bureau)","3660 4620"
"Hong Kong Police Force","Operations Division,Anti-illegal Immigration Control Centre","","",""
"Hong Kong Police Force","Operations Bureau,Counter Terrorism and Internal Security Division","Mr. SEE Kam Sho","SP (Counter Terrorism &amp; Internal Security Div) (Ops Bureau)","2860 2192"
"Hong Kong Police Force","Operations Bureau,Counter Terrorism and Internal Security Division","Mr. CHAN Hei Chi","CIP (Counter Terrorism &amp; Internal Security Div) (Ops Bureau)","2860 2262"
"Hong Kong Police Force","Operations Bureau,Counter Terrorism and Internal Security Division","Mr. Jonathan Anthony CLOSE","CIP (Exercise &amp; Support)(Ops Bureau)","2860 2193"
"Hong Kong Police Force","Operations Bureau,Counter Terrorism and Internal Security Division","Ms. TUNG Hei Man","SIP (Counter Terrorism &amp; Internal Security Div) (Ops Bureau)","2860 2173"
"Hong Kong Police Force","Counter Terrorism and Internal Security Division,Counter Terrorism Response Unit","Mr. Nicholas Andrew PEARSON","CIP (Counter Terrorism Response Unit) (Ops Bureau)","2860 3896"
"Hong Kong Police Force","Counter Terrorism and Internal Security Division,Counter Terrorism Response Unit"," (Vacant)","SIP (Counter Terrorism Response Unit) HQ (Ops Bureau)","2860 2193"
"Hong Kong Police Force","Counter Terrorism and Internal Security Division,Counter Terrorism Response Unit","Mr. FUNG Chun Wai","SIP (Counter Terrorism Response Unit) HQ (Ops Bureau)","3660 7477"
"Hong Kong Police Force","Counter Terrorism and Internal Security Division,Counter Terrorism Response Unit","Mr. POON Chung Kei","IP (Counter Terrorism Response Unit) 2 (Ops Bureau)","2860 2717"
"Hong Kong Police Force","Counter Terrorism and Internal Security Division,Counter Terrorism Response Unit","Mr. CHOI Yat Hin","IP (Counter Terrorism Response Unit) 3 (Ops Bureau)","3660 7476"
"Hong Kong Police Force","Operations Bureau,Key Points and Search Division","Mr. LOK Wai Lurk","SP (Key Points &amp; Search Division)(Ops Bureau)","2860 2191"
"Hong Kong Police Force","Operations Bureau,Key Points and Search Division","Mr. CHENG Shiu Kin","CIP (Key Points &amp; Search Division) (Ops Bureau)","2860 2194"
"Hong Kong Police Force","Operations Bureau,Key Points and Search Division","Mr. FU Chun Yip","SIP (Key Points &amp; Search Division)(Ops Bureau)","2860 3954"
"Hong Kong Police Force","Key Points and Search Division,Police Dog Unit","Mr. LEE Cheuk Wai","CIP (Police Dog Unit)","3661 4999"
"Hong Kong Police Force","Key Points and Search Division,Police Dog Unit","Mr. WONG Ho Pui","SIP (Training)(Police Dog Unit)","3661 4968"
