"Organisation","Full Name","Post Title","Office Tel"
"Rating and Valuation Department","Mr. TANG Ping Kwong, JP","Comr of Rating & Valuation","2150 8800"
"Rating and Valuation Department","Mr. CHOI Lap Yiu, JP","Dep Comr of Rating & Valuation","2150 8801"
""
"Organisation","Service Name","Office Tel"
"Rating and Valuation Department","Enquiries","2152 0111 "
""
"Organisation","Department","Full Name","Post Title","Office Tel"
"Rating and Valuation Department","Rating and Valuation Department","","",""
"Rating and Valuation Department","Rating and Valuation Department,Directorate","Mr. TANG Ping Kwong, JP","Comr of Rating &amp; Valuation","2150 8800"
"Rating and Valuation Department","Rating and Valuation Department,Directorate","Mr. CHOI Lap Yiu, JP","Dep Comr of Rating &amp; Valuation","2150 8801"
"Rating and Valuation Department","Rating and Valuation Department,Directorate","Miss YIM Wai Man, Christina, JP","Asst Comr(Administration and Staff Development)","2150 8803"
"Rating and Valuation Department","Rating and Valuation Department,Directorate","Ms. LAM Man Yee, Eileen","Asst Comr(Corporate and Tech Services)","2150 8802"
"Rating and Valuation Department","Rating and Valuation Department,Directorate","Mr. IP Pak Keung","Asst Comr(Rating &amp; Valuation)","2150 8804"
"Rating and Valuation Department","Rating and Valuation Department,Directorate","Ms. JIM Yuen Shan, Sandy","Asst Comr(Special Duties)","2150 8805"
"Rating and Valuation Department","Rating and Valuation Department,Administration Division","Ms. LIU Man Wah, Mandy","DS","2150 8810"
"Rating and Valuation Department","Rating and Valuation Department,Administration Division","Ms. LEUNG Wan kei, Vikki","Dep DS","2150 8811"
"Rating and Valuation Department","Rating and Valuation Department,Administration Division","Mr. CHENG  Hon Por, Eddie","ADS(Adm)","2150 8814"
"Rating and Valuation Department","Administration Division,Confidential Registry","Ms. CHENG Po Ying, Mandy","Conf Asst","2150 8815"
"Rating and Valuation Department","Administration Division,Enq and R & D","Ms. SO  Yin Ping, Sandy","CO(Enq &amp; R&amp;D)","2150 8390"
"Rating and Valuation Department","Administration Division,Establishment & Appointment Section","Mr. CHAN Siu-hei, Duncan","Asst DS(Est &amp; Appt)","2150 8812"
"Rating and Valuation Department","Administration Division,Establishment & Appointment Section","Ms. LI Ka-yan","CO(Est &amp; Appt)","2150 8823"
"Rating and Valuation Department","Administration Division,General Section","Ms. LAM Koo Mei, Kitty","SCO(Gen)","2150 8816"
"Rating and Valuation Department","Administration Division,General Section","Ms. LEE Yim Kuen","CO(Gen)","2150 8825"
"Rating and Valuation Department","Administration Division,Personnel Section","Ms. LEUNG Pik Long, Phoebe","Asst DS(Per)","2150 8813"
"Rating and Valuation Department","Administration Division,Personnel Section","Miss LEUNG  Fung Yi, Freda","SCO(Per)","2150 8817"
"Rating and Valuation Department","Administration Division,Personnel Section","Ms. LAM Mei Lin, Linda","CO(Per)","2150 8817"
"Rating and Valuation Department","Administration Division,Supplies Section","Miss SIT Fung Ping, Jennifer","SSI(Supplies Sec)","2150 8398"
"Rating and Valuation Department","Rating and Valuation Department,Accounting And Billing Division","Mr. LAU Sin Keung, Terence","Sr TA(Accounting &amp; Billing Div)","2150 8300"
"Rating and Valuation Department","Rating and Valuation Department,Accounting And Billing Division","Ms. LAI Ying Hung, Rubetta","Sr Acct Offr(AB)","2150 8301"
"Rating and Valuation Department","Accounting And Billing Division,Accounts Section","Ms. WONG  Man Kwan, June","Acct Offr I(Acct)","2150 8385"
"Rating and Valuation Department","Accounting And Billing Division,Accounts Section","Ms. CHU Ka Wai, Carrie","SCO(Acct)","2150 8386"
"Rating and Valuation Department","Accounting And Billing Division,Arrears Section","Ms. LAU  Ka Wai, Mandy","Acct Offr I(Arrears)1","2150 8310"
"Rating and Valuation Department","Accounting And Billing Division,Arrears Section","Mr. KWONG Ho Man","Acct Offr I(Arrears)2","2150 8320"
"Rating and Valuation Department","Accounting And Billing Division,Arrears Section","Ms. GO Kit Fan, Amy","SCO(Arrears)1","2150 8312"
"Rating and Valuation Department","Accounting And Billing Division,Arrears Section","Ms. CHAN LEUNG Siu Chun, Sanna","SCO(Arrears)2","2150 8313"
